pays,année,espérance de vie,niveau d’éducation,pib/hab,idh calculé,chômage
Afghanistan,2000,55.005,,174.930991430166,,7.935
Afghanistan,2005,58.247,,254.184249149336,,7.885
Afghanistan,2010,60.702,,560.621505463146,,7.753
Afghanistan,2015,62.27,1.91133177280426,565.569730408751,0.148,9.052
Afghanistan,2020,61.454,4.70253896713257,510.787063366811,0.195,11.71
Africa Eastern and Southern,2000,52.5573418626777,,707.120376327506,,7.78831690275508
Africa Eastern and Southern,2005,54.8076807136336,,1115.71395556649,,7.21879262795258
Africa Eastern and Southern,2010,58.827279206282,,1601.72774808025,,7.40306130661224
Africa Eastern and Southern,2015,61.713030523495,,1479.56412348117,,7.03635682492424
Africa Eastern and Southern,2020,63.7664840026943,,1344.08096192004,,8.19139491127414
Africa Western and Central,2000,50.2979830815751,,516.932316255791,,4.55111905984559
Africa Western and Central,2005,52.5557531001128,,989.699738831975,,4.10069950284306
Africa Western and Central,2010,54.603353213388,,1647.14984698519,,3.9915945374515
Africa Western and Central,2015,56.0383356484355,,1845.76780421108,,4.16446707837468
Africa Western and Central,2020,57.3644254011107,,1664.24917643553,,4.85239270055131
Albania,2000,74.826,,1126.68334010717,,19.023
Albania,2005,76.427,7.42999982833862,2673.78781583529,0.318,15.966
Albania,2010,78.414,9.98201656341553,4094.34968570481,0.369,14.086
Albania,2015,78.358,14.8080072402954,3952.80357364813,0.42,17.193
Albania,2020,77.824,15.82174758911132,5370.77862312929,0.439,11.69
Algeria,2000,70.576,,1772.92869122761,,29.77
Algeria,2005,72.836,,3233.13339634212,,15.27
Algeria,2010,74.144,,4912.78585503672,,9.96
Algeria,2015,75.159,3.11999988555908,4685.05902729002,0.249,11.206
Algeria,2020,73.257,3.11999988555908,3743.5419522929,0.241,14.057
American Samoa,2000,71.443,,,,
American Samoa,2005,72.382,,8831.26975996609,,
American Samoa,2010,72.587,,10375.1720141957,,
American Samoa,2015,72.654,,12727.4102651386,,
American Samoa,2020,72.672,,14489.2586563775,,
Andorra,2000,81.863,,21810.2487431414,,
