country,year,life_expectancy
Afghanistan,2000,54.98949
Afghanistan,2010,59.94055
Afghanistan,2015,61.65429
Afghanistan,2019,63.2099
Afghanistan,2021,59.126903534
Africa,2000,52.65365
Africa,2010,59.48694
Africa,2015,62.5606
Africa,2019,64.49229
Africa,2021,63.552440643
Albania,2000,73.54528
Albania,2010,76.24688
Albania,2015,77.84428
Albania,2019,78.00018
Albania,2021,76.390892029
Algeria,2000,72.21101
Algeria,2010,75.85488
Algeria,2015,76.54363
Algeria,2019,77.13415
Algeria,2021,75.977653503
Americas,2000,74.12141
Americas,2010,75.43713
Americas,2015,76.78436
Americas,2019,77.15873
Americas,2021,74.112686157
Angola,2000,49.30265
Angola,2010,58.06943
Angola,2015,61.71907
Angola,2019,63.06044
Angola,2021,62.131134033
Antigua and Barbuda,2000,74.56184
Antigua and Barbuda,2010,75.94979
Antigua and Barbuda,2015,76.13984
Antigua and Barbuda,2019,76.45393
Antigua and Barbuda,2021,76.91526794399999
Argentina,2000,74.08556
Argentina,2010,75.43737
Argentina,2015,76.16682
Argentina,2019,76.57514
Argentina,2021,74.568977356
Armenia,2000,71.88136
Armenia,2010,73.11896
Armenia,2015,74.51096
Armenia,2019,76.02519
Armenia,2021,72.984580994
Australia,2000,79.69334
Australia,2010,81.9043
Australia,2015,82.2783
Australia,2019,83.04064
Australia,2021,83.101837158
Austria,2000,78.16925
Austria,2010,80.3856
Austria,2015,80.98208
Austria,2019,81.64519
Austria,2021,80.992973328
Azerbaijan,2000,65.52002
Azerbaijan,2010,69.02677
Azerbaijan,2015,70.6707
Azerbaijan,2019,71.42894
Azerbaijan,2021,72.912940979
Bahamas,2000,70.93668
Bahamas,2010,72.95849
Bahamas,2015,72.91566
Bahamas,2019,73.21226
Bahamas,2021,70.432739258
Bahrain,2000,70.46838
Bahrain,2010,74.51688
Bahrain,2015,76.46371
Bahrain,2019,75.81459
Bahrain,2021,74.383720398
Bangladesh,2000,65.58728
Bangladesh,2010,70.28825
Bangladesh,2015,73.58051
Bangladesh,2019,74.25471
Bangladesh,2021,73.102516174
Barbados,2000,74.49873
Barbados,2010,75.88476
Barbados,2015,76.21642
Barbados,2019,76.0344
Barbados,2021,76.841835022
Belarus,2000,68.84592
Belarus,2010,70.38769
Belarus,2015,73.81525
Belarus,2019,74.80977
Belarus,2021,73.123245239
Belgium,2000,77.66169
Belgium,2010,79.84602
Belgium,2015,80.71184
Belgium,2019,81.42305
Belgium,2021,81.505966187
Belize,2000,70.34421
Belize,2010,73.38513
Belize,2015,74.04993
Belize,2019,74.40823
Belize,2021,73.320556641
Benin,2000,56.59007
Benin,2010,60.47139
Benin,2015,61.96257
Benin,2019,63.42606
Benin,2021,64.012687683
Bhutan,2000,65.69579
Bhutan,2010,71.00534
Bhutan,2015,72.15268
Bhutan,2019,73.1091
Bhutan,2021,74.876426697
Bolivia (Plurinational State of),2000,66.01998
Bolivia (Plurinational State of),2010,70.34061
Bolivia (Plurinational State of),2015,71.5186
Bolivia (Plurinational State of),2019,72.13765
Bolivia (Plurinational State of),2021,65.410621643
Bosnia and Herzegovina,2000,75.41919
Bosnia and Herzegovina,2010,76.18808
Bosnia and Herzegovina,2015,76.31874
Bosnia and Herzegovina,2019,76.75007
Bosnia and Herzegovina,2021,74.849441528
Botswana,2000,45.58516
Botswana,2010,58.1373
Botswana,2015,60.92577
Botswana,2019,62.24785
Botswana,2021,61.231189728
Brazil,2000,71.46612
Brazil,2010,74.09258
Brazil,2015,75.13264
Brazil,2019,75.90331
Brazil,2021,72.388404846
Brunei Darussalam,2000,72.20396
Brunei Darussalam,2010,74.567
